Brief,Beleg,VK,Briefschreiber
"Jacob Grimm an Pfeiffer. Berlin, 5. Januar 1855",so wie Sie die benennung mitteldeutsch nicht gern fahren lassen werden,321,Jacob
"Jacob Grimm an Pfeiffer. Berlin, 30. April 1857",Ob Wilhelm seine liebhaberei von Freidank und Walther sogleich fahren lassen wird,321,Jacob
"Jacob Grimm an Reimer. Berlin, 16. Dezember 1847","vielleicht finde ich in den nächsten monaten muße Ihnen den anfang des manuscripts dafür zu bereiten, das Sie doch wol besser dort in Leipzig drucken lassen werden",321,Jacob
"Jacob Grimm an Hugo. Kassel, 20. August 1824","dem stil nachzuhelfen, der sich, wenn platz zu machen war, zwängen und drücken laßen muste",321,Jacob
"Jacob Grimm an Hirzel. Berlin, [vor 21. Juli 1862]","vor ungefähr drei wochen schickte ich msp. an Hildebrand, das ich einnähen lassen muste,",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Kassel, 16. und 17. August [1809]. ",daß man vieles drucken laßen mag,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Göttingen, [25. Juni 1812].",wenn er s. Auszug aus Ferdusi drucken lassen wollte,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Göttingen, [25. Juni 1812].",von den 30 Büchern die wir etwa auch kommen lassen könnten,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Chaumont und Troyes, 8. bis 20. Februar 1814.","ob man ihn ganz absetzen, oder mit den gestümpften Flügeln fortregiren laßen soll,",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Paris, 19. bis 25. April 1814.","wo man ohne Schwierigkeiten doppelt so viel behalten könnte, oder über unbedacht hingeworfene Aus105 sprüche das Gefühl und die tiefer empfundene Gerechtigkeit des Volks nicht siegen laßen will",321,Jacob
" Jacob Grimm an Wilhelm Grimm. Wien, 10. Juni 1815.","daß ich es mir nachher vergüten laßen kann
",321,Jacob
"Jacob Grimm an Wilhelm und Ludwig Grimm. Mainz, 13. September 1815. ",den ich jetzt 50 mit unnöthigen Kosten zurückgehen laßen muß,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Heidelberg, 11. April 1817.","daß sie gerade Görres, d. h. ohne noch65 malige Durchsicht seiner glökl. Abschrift wie Prosa abdrucken laßen will",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Kassel, 21. Januar [1838].","ob Heeren meine recensionen, die er seit anfang october hat drucken lassen will",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Frankfurt a. M., 20. Juli 1848.",um mein hiesiges binden lassen zu können,321,Jacob
"Jacob Grimm an Henriette Philippine Zimmer.
Marburg, 23. Januar 1805.",wenn ich mich anstellen laßen will,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Kassel, 7. August [1807].","daß er wahrscheinl. sich hier fixiren u. s. Bibl. hierherkommen
laßen wird",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Straßburg, 21. Juni 1814.","den ich aber gz
150 liegen laßen werde",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Kassel, 17. Mai [1809].",wer die unglückseligen Kangurohs kennen lernen will,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Karlsruhe,
19. und 21. September 1831.","Rudölphchen wird bis ich wiederkomme
mancherlei sprechen gelernt haben",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Venedig, 29. September 1843","ihr hättet mich, herrn
und frau Gerhard vier stunden lang auf eseln reiten sehn sollen",321,Jacob
"Jacob Grimm an Pfeiffer. Berlin, 5. August 1862","unbegreiflich ist fast, dasz die autorschaft eines solchen dichters und bei solch einem werk im ganzen dreizehnten jahrhundert verschollen und unberührt geblieben sein sollte",321,Jacob
"Jacob Grimm an Pfeiffer. Berlin, 27. Februar 1863",oder aus welchen dieses gekürzt sein kann.,321,Jacob
"Jacob Grimm an Pfeiffer. Berlin, 31. Oktober 1858","eine nachher abhanden gekommene inschrift, worauf Tamfanae sacrum stand vor augen gehabt haben, die noch älter als Tacitus gewesen sein darf",321,Jacob
"Jacob Grimm an Karajan. Berlin, 26. Juni 1863","da Ihre bibliothek auch den band besitzt, von dem der anrüchige pergamentstreif abgelöst sein soll",321,Jacob
"Jacob Grimm an Wackernagel. Berlin, 28. Juli 1842","so beschäftigt mich noch ein vierter band der weisthümer, mit dem die weitläuftige samlung geschlossen sein soll",321,Jacob
"Jacob Grimm an Karajan. Berlin, 6. Februar 1843","abgesehn davon, dass schon ein wenig scham überwunden sein will,",321,Jacob
"Jacob Grimm an Wyttenbach. Kassel, 25. März 1811"," der Gedanke, wie viel literarische Besitzthümer aus der dortigen, sonst so reichen Gegend verschwunden seyn müßen",321,Jacob
"Jacob Grimm an Hirzel. Berlin, 25. Oktober [1862]","Gott weisz wer einzelne citate daraus, die Ihnen doch vor augen ge-40 kommen sein müssen, eingeschmuggelt hat",321,Jacob
"Jacob Grimm an Karajan. Berlin, 10. Juli 1843",denke mir aber dass er nun die längste zeit in Rom gewesen sein muss,321,Jacob
"Jacob Grimm an Hirzel. Berlin, 21. Februar 1857","Haufen von büchern liegen um mich, die gelesen sein wollen",321,Jacob
"Jacob Grimm an Hirzel. Berlin, 1. Oktober 1858","denn hier hatten sich unterdessen manche dinge aufgehäuft, die abgewickelt sein wollten",321,Jacob
"Jacob Grimm an Hirzel. Berlin, 30. Juli 1863","eben ist mir eine schrift von Jonckbloet über Reinhart Fuchs und Weinholds alemannische grammatik zugelangt, die frisch gelesen sein wollen",321,Jacob
"Jacob Grimm an Haupt. Kassel, 15. März 1839", auch seine predigen die erschienen sein sollen,321,Jacob
"Jacob Grimm an Hoffmann von Fallersleben. Göttingen, 28. November 1830","ich glaube, daß Sie mit mir mehr zufrieden gewesen sein sollten",321,Jacob
"Jacob Grimm an Mone. Kassel, 28. April 1819","wie es in den Gedichten des 13 J. H. noch überall Wörter und Formeln gibt, die in dem ältern Epos begründet seyn mögen",321,Jacob
"Jacob Grimm an Haupt. Göttingen, 12. Februar 1836","ich kann Ihnen, wenn Sie es begehren, ein paar bogen mit mytholog. excursen und nachträgen füllen, die freilich in mein buch selbst verarbeitet sein sollten",321,Jacob
"Jacob Grimm an Hoffmann von Fallersleben. Kassel, 1. Januar 1822","Das holländ. fragment, das in Bilderdyks verscheidenheden (die mir noch nicht zu gesicht gekommen sind) mitgetheilt seyn soll",321,Jacob
"Jacob Grimm an Hoffmann von Fallersleben. Kassel, 6. März 1826","Daß Sie den bresl. cod. zu grund legen, ist mir schon recht, wiewohl der ebersperger beßer, nach Lachmann von 40 Willeram selbst corrigiert sein soll",321,Jacob
"Jacob Grimm an Mone. Göttingen, 1. Mai 1833","heute hat mir hr. Lamey, der mir bestens empfolen sein soll, Ihren brief gebracht",321,Jacob
"Jacob Grimm an Pfeiffer. Berlin, 10. September 1851","Ich danke Ihnen für Zusendung Ihrer recension des GA., die mir sonst noch lange nicht zu gesicht gekommen sein würde",321,Jacob
"Jacob Grimm an Wackernagel. Göttingen, 28. November 1830","der sich von einer woche in die andere verspätete, jetzt aber vor dem brief in Ihre hände gelangt sein wird",321,Jacob
"Jacob Grimm an Wackernagel. Berlin, 21. März 1855","Müllenhoff hat durch seine grobe schrift einen unfug gestiftet, der schwer beizulegen sein wird",321,Jacob
"Jacob Grimm an Reimer. Kassel, 26. April 1838","sobald wir an einem andern orte, wahrscheinlich Leipzig, vereinigt und gesammelt sein werden",321,Jacob
Jacob Grimm an Hoffmann von Fallersleben. Berlin,was nun übel oder unrecht war wollen wir vergessen sein lassen,321,Jacob
"Jacob Grimm an Reimer. Kassel, 2. Mai 1838", bis erst Ihre auslagen und kosten gedeckt gewesen wären,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Kassel, 3. Mai 1809. ","daß dein Aufenthalt in Halle auf 10 eine bestimmte Zeit, etwa einige Monate eingeschränkt seyn müßte,",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Kassel, [8. Dezember 1809].","welche dem Titel nach aus einer altdeutschen Handschrift herausgegeben seyn sollte,",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Göttingen, [21. Juni 1812].","die zweite Tochter ist nicht so hübsch, als die Jasmund sonst gewesen seyn muß",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Göttingen, [25. Juni 1812].",wenn er noch nicht abgeg. seyn sollte,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Basel, 20. Januar 1814",worüber dieser sehr mismuthig heimgereist seyn muß,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Basel, 20. Januar 1814",wo noch die Lebensmittel nicht eingebracht gewesen seyn sollen,321,Jacob
" Jacob Grimm an Wilhelm Grimm. Langres, 2. Februar 1814.","dadurch würde die französ. Hauptarmee, die bei Chalons stehen u. verschanzt seyn soll",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Chaumont und Troyes, 8. bis 20. Februar 1814.",da die Corre50 spondenz über Mailand so ziemlich freigeblieben seyn muß,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Vesoul, 1. März [1814].","Augereau, der bis Dijon und selbst Gray vorgedrungen seyn soll",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Paris, 19. bis 25. April 1814.","daß binnen einem Jahr und ehe man alle Stimmen im Volk gehört und genutzt, nichts definitv entschieden seyn solle",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Wien, 16. Dezember 1814.",wenn er verloren gegangen seyn sollte,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Wien, 4. Januar 1815.","daß mein Brief vom Nov. in Caßel selbst, wohin er ohne Zweifel gelangt ist, verloren gegangen seyn sollte.",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Wien, 27. Januar 1815.",da er bereits zwischen 7—10 Dec. eingetroffen seyn mußte,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Frankfurt a. M., [12. September 1831].",dasz sie zu Wien eingerückt sein soll,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Berlin, [23. Juli 1847].","dass die Krankheit überhaupt erst eine Woche gedauert hatte
und durch den Blutverlust grosse schwächung eingetreten sein muste",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Paris, 1. und 6. März 1805.","diese Arbeit würde gewiß ewig
verloren gewesen sein",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Paris, 1. und 6. März 1805.","so ist zu befürchten daß
er bald vergriffen sein wird,",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Paris, 21. April 1805.",da dem Kommodans selbst daran gelegen sein wird,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Paris, 4. August 1805.","ob ich schon durch eignes Nachdenken selbst
45 auf einige davon gekommen sein würde.",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Frankfurt a. M., 2. August [1848].","was soll man dinge aufrecht halten, die in kurzer zeit allgemein aufgegeben sein werden",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Frankfurt a. M., 5. September [1848]",da auf Östreich wenig zu rechnen sein wird,321,Jacob
"Jacob Grimm an Dorothea Grimm geb. Zimmer und
Henriette Philippine Zimmer. Paris, 5. März 1805.",da ich immer anständig gekleidet sein muß,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Jena,
[nach dem 25. Juli, vor dem 5. August 1838]",wobei auch seine mithilfe sehr erwünscht sein werde,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Paris, 4. August 1805.","ob ich schon durch eignes Nachdenken selbst
45 auf einige davon gekommen sein würde",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Dijon, 5. April [1814]. ",was beßer klar gesagt gewesen wäre,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Frankfurt a. M.,
5. September [1848]. ",da auf Östreich wenig zu rechnen sein wird.,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Kassel, 7. August [1807].","daß die Unruhe in Dänemark auf jedwede Weise
15 bald beigelegt seyn wird",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Paris, 1. und 6. März 1805.",wenn sie einmal verloren gewesen wäre,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Kassel, 25. Dezember [1837].","dass ich
vergnügt gewesen wäre",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Gotha, [25. Juni 1811].","daß viele Verschreibungen auf den
15 Namen der Tante Schlemmern eingetragen seyn werden",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Chaumont,
4. und 5. Februar [1814].","sobald er
einmal förmlich abgedankt seyn wird",321,Jacob
"Jacob Grimm an Henriette Philippine Zimmer.
Kassel, 21. Juli [1813].","was auf
jeden Fall zu vermeiden gewesen wäre",321,Jacob
"Jacob Grimm an Henriette Philippine Zimmer und Dorothea
Grimm geb. Zimmer. Paris, 10. Februar [1805].",die hof25 fentlich bald angelangt sein werden,321,Jacob
"Jacob Grimm an Pfeiffer. Berlin, [10. August 1852]. ","was in der vorrede des ersten bandes, d. h. mit dem achten heft gesagt werden soll.",321,Jacob
"Jacob Grimm an Pfeiffer. Berlin, [vor dem 26. November 1859]",dasz gegen diesen pabst im buchhandel (verzeihen Sie den protestantischen ausdruck) einmal einsprache erhoben oder protestiert werden sollte,321,Jacob
"Jacob Grimm an Pfeiffer. Berlin, 19. Januar 1854","auf 370 seiten hätten alle 30 000 verse so gut gedruckt werden können, ",321,Jacob
"Jacob Grimm an Pfeiffer. Berlin, 31. Oktober 1858","es ist der wunderbarste fund, der gemacht werden konnte, ",321,Jacob
"Jacob Grimm an Bartsch. Berlin, 10. November 1857","Ihre provenzalischen arbeiten sind so sauber, dasz sie auch in Frankreich bemerkt werden müssen.",321,Jacob
"Jacob Grimm an Pfeiffer. Berlin, 9. Mai 1858","die nicht einem allein gehören, sondern von vielen zu stand gebracht werden müssen.",321,Jacob
"Jacob Grimm an Bartsch. Berlin, 20. Dezember 1860",da weder Otfried noch der den Tatian verdeutschte zur grundlage des mitteldeutschen gemacht werden dürfen,321,Jacob
"Jacob Grimm an Hugo. Kassel, 20. August 1824","dem, das noch ausgetrieben werden kann",321,Jacob
"Jacob Grimm an Hugo. Kassel, 29. Oktober 1840",obgleich diese Partei eben als die pieti- stisch demütige bezeichnet werden kann,321,Jacob
"Jacob Grimm an Karajan. Berlin, 6. Februar 1843","und verspreche, dass unsre schuld nächstens abgetragen werden 15 soll",321,Jacob
"Jacob Grimm an Karajan. Berlin, 12. November 1857","vor einigen jahren empfing ich ein schreiben, dasz nur noch die sitzungsberichte der phil. historischen classe verabreicht werden sollten",321,Jacob
"Jacob Grimm an Zacher. Berlin, 27. November 1843"," und außerdem in aussicht gestellt, daß der nächste winter im geleite des prinzen in Paris zugebracht und nachher eine reise nach Italien 10 unternommen werden soll",321,Jacob
"Jacob Grimm an Karajan. Berlin, 5. Oktober 1841"," Obgleich ban für gerichtsbezirk genommen werden darf, ",321,Jacob
"Jacob Grimm an Wackernagel. Göttingen, 25. Januar 1834","schreiben Sie mir, ob anlage und ausführung gelobt werden können oder getadelt werden müssen",321,Jacob
"Jacob Grimm an Wackernagel. Göttingen, 25. Januar 1834","schreiben Sie mir, ob anlage und ausführung gelobt werden können oder getadelt werden müssen",321,Jacob
"Jacob Grimm an Wyttenbach. Kassel, 25. März 1811","eh davon ein beßerer Gebrauch gemacht worden ist, als es nun wohl zumeist an ihren neuen Aufenthaltsörtern nachgeholt werden kann",321,Jacob
"Jacob Grimm an Zacher. Berlin, 10. April 1851"," dabei geht, ohne rechte freude, geld auf, das besser verwendet werden könnte",321,Jacob
"Jacob Grimm an Hirzel. Kassel, 18. Juni 1839"," oder schon dort sind, in welchem fall Ihnen der brief nachgeschickt werden soll",321,Jacob
"Jacob Grimm an Hirzel. Berlin, 5. Januar 1852"," und das übel daher entspringend, dasz für namen kleinere majuskel gebraucht werden sollte",321,Jacob
"Jacob Grimm an Hirzel. Berlin, 17. Oktober 1853",von der eintheilung des buchs in zwei hälften 10 hätte besser ganz abgegangen werden sollen,321,Jacob
"Jacob Grimm an Hirzel. Berlin, 17. Oktober 1853","beim register hätten, da sie doch neben stehen, die alten seitenzahlen genommen werden sollen",321,Jacob
"Jacob Grimm an Hirzel. Berlin, 18. Januar 1856",wenn offen geredet werden soll,321,Jacob
"Jacob Grimm an Hirzel. Berlin, 23. März 1861"," von dem redlichen Menge habe ich jetzt 26 bändchen vor mir 40 liegen, die für jeden artikel nachgeschlagen werden sollten",321,Jacob
"Jacob Grimm an Hirzel. Berlin, 11. April [1861]","beide sind ähnlich, die stellung hätte nur mehr geändert werden sollen",321,Jacob
"Jacob Grimm an Hirzel. Berlin, 11. April [1861]","können Sie bei ihm einige zwanzig originalbriefe Göthes an die Laroche einsehen, die später auch ausgestellt werden sollen",321,Jacob
"Jacob Grimm an Hirzel. Berlin, 18. Februar 1863","dasz, wenn es zum abschlusz käme, mir seine entwürfe zur genehmigung, abänderung, vermehrung (welchen ausdruck Sie hier wählen wollen) vorgelegt werden sollten",321,Jacob
"Jacob Grimm an Hirzel. Berlin, 15. März [1854]","dasz unmöglich gleich mit der ersten lieferung, wie damals begehrt wurde, vorr. und quellenverz. gegeben werden konnte",321,Jacob
"Jacob Grimm an Hirzel. Berlin, 18. Januar 1856","die dem wörterbuch wenig genutzt und vielmehr dadurch geschadet haben, dasz die auszüge nicht von neuem gemacht und andern 15 übertragen werden konnten",321,Jacob
"Jacob Grimm an Hirzel. Berlin, 7. Februar 1848","Zum besinnen auf die antwort haben Sie zeit, da der titel erst in 4 bis 6 20 wochen gesetzt zu werden braucht",321,Jacob
"Jacob Grimm an Hirzel. Berlin, 12. Januar 1860","eine flut von briefen ist eingegangen, die freilich grösztentheils nicht beantwortet zu werden brauchen",321,Jacob
"Jacob Grimm an Hirzel. Berlin, [31. Mai 1852]","in der ausarbeitung gerathe ich jetzt an ein wort, das bei frauen nicht aufgeschlagen werden darf",321,Jacob
"Jacob Grimm an Hirzel. Berlin, 17. April 1854",so viel hätte dem publicum überlassen werden müssen zu errathen,321,Jacob
"Jacob Grimm an Hirzel. Berlin, 22. [August 1855]",dasz der Ptolemaeus bei Bädeker (dessen sechstes heft 1845 erschien) entweder herabgesetzt oder bald maculatur werden müsse,321,Jacob
"Jacob Grimm an Hirzel. Berlin, 2. April [1852]","es war ein augenblicklicher einfall, dasz anders gelesen werden könne",321,Jacob
"Jacob Grimm an Hirzel. Berlin, 9. Juli [1853]",sonst hätten leicht ein paar blätter mehr gesandt werden können,321,Jacob
"Jacob Grimm an Hirzel. Berlin, 26. November 1853",dann wird band 1 im merz ausgegeben werden können,321,Jacob
"Jacob Grimm an Wackernagel. Göttingen, 2. Januar 1836.","in welchem letzten fall nicht ihr sinn, sondern der des stammhelden aufge- sucht werden muss",321,Jacob
"Jacob Grimm an Zacher. Berlin, 10. April 1851",Was hier überarbeitet werden muß,321,Jacob
"Jacob Grimm an Hirzel. Berlin, 26. April 1853","eine kühne an- 5 nahme, die demnächst durch V und W widerlegt werden kann;",321,Jacob
"Jacob Grimm an Hirzel. Berlin, 22. Oktober 1859","Hierbei sende ich p. 1091—1106, damit wenigstens boge 42 ausgedruckt werden kann",321,Jacob
"Jacob Grimm an Hirzel. Berlin, [Juni—September 1859 ?]","es kam hinzu, dasz sich namen der thiere und pflanzen fast nur lateinisch systematisch vorstellen, bedenkliche und obscöne wörter an5 ders gar nicht eingeführt und erörtert werden können",321,Jacob
"Jacob Grimm an Hirzel. Berlin, 26. April 1853","ich wünsche glückliche messe, und dasz sie von vielen abnehmern des wb. gebaut werden möge",321,Jacob
"Jacob Grimm an Hoffmann von Fallersleben. Kassel, 21. November 1818","nicht aus Man10 gel an Lust und Stoff, sondern weil dem Publicum billigerweise nicht zugemuthet werden darf",321,Jacob
"Jacob Grimm an Mone. Kassel, 12. Februar 1820","Ich zweifle nicht im Geringsten, daß selbst in Ulfilas Buchstaben Spuren der deutschen Runenschrift stecken und daß diese überhaupt nicht so aus Latein und Griechisch abgeleitet wer10 den darf",321,Jacob
"Jacob Grimm an Mone. Kassel, 12. Februar 1820",Diese Vocalunterschiede werde ich in der neuen Aufl. des 1ten 40 Th. meiner Gr. (die jetzt schon gedruckt werden muß,321,Jacob
"Jacob Grimm an Mone. Kassel, 12. August 1823","verfahren Sie allzu rasch und tragen eine Theorie auf sie ein, die wahrscheinlich oder vielleicht verworfen werden muß",321,Jacob
"Jacob Grimm an Mone. Göttingen, 28. Mai 1831","aber mir scheint doch ziemlich ausgemacht, daß nur von dieser seite aus der niederländische character 15 allmälich gestärkt und erhalten werden konnte",321,Jacob
"Jacob Grimm an Haupt. Kassel, 16. Februar 1838","welcher unsaubere ausdruck im munde des wolfs, der ihn vorbringt, geduldet werden kann",321,Jacob
"Jacob Grimm an Mone. Kassel, 12. Februar 1820","ist eine Spielerei, die mit den gewöhnl. Reimpaaren nicht verglichen werden kann",321,Jacob
"Jacob Grimm an Hoffmann von Fallersleben. Göttingen, [20. März 1831]","Dadurch wurde ich in der grammatik, welche diesen winter endlich gefördert werden sollte",321,Jacob
"Jacob Grimm an Mone. Göttingen, 2. Januar 1836",wobei Ihre nachträge und einwendungen berücksichtigt werden sollen,321,Jacob
"Jacob Grimm an Pfeiffer. Berlin, 5. Januar 1863",wenn die vorrede ausgeführt worden wäre,321,Jacob
"Jacob Grimm an Reimer. Berlin, 16. Dezember 1847",daß hier zur subscription für Beseler aufgefordert werden würde,321,Jacob
"Jacob Grimm an Hirzel. Berlin, [18. August 1852].","wenn nicht zum ersten bande gleich, sondern am schlusse des ganzen werks auf zwei stülen gerade neben 10 einander sitzend aufgenommen und der welt vorgestellt worden wären",321,Jacob
"Jacob Grimm an Hirzel. Berlin, [19. März 1853]","Sie hatten mich dadurch zu einem einschiebsel über barlaufen verführt, das besser zu sp. 5 1140 verarbeitet worden wäre, ",321,Jacob
"Jacob Grimm an Hirzel. Berlin, 14. Februar [1855]",wenn allenfalls der bogen 37 nicht ausgedruckt worden wäre,321,Jacob
"Jacob Grimm an Hirzel. Berlin, 6. Juli 1853","habe auf beifolgendem zettel angegeben, wie verfahren werden musz,",321,Jacob
"Jacob Grimm an Hirzel. Berlin, 14. Oktober 1853", weil doch nach Lachm. citiert werden musz,321,Jacob
"Jacob Grimm an Hirzel. Berlin, [18. Dezember 1853]","so kann das jetzt zu gebende verzeichnis nur ein sehr unvollständiges sein, das am schlusz des ganzen 5 von neuem gedruckt werden musz",321,Jacob
"Jacob Grimm an Hoffmann von Fallersleben. Berlin, 22. Dezember 1852","von der die spur verweht werden wird,",321,Jacob
"Jacob Grimm an Mone. Kassel, 12. Februar 1820",weil die erste Aufl. zu schwach gemacht worden war,321,Jacob
"Jacob Grimm an Pfeiffer. Berlin, 26. Juli 1863",wenn auch in der Untersuchung das schwäbische und alamannische geschieden werden musz,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Paris, 1. und 6. März 1805.","ob ich wohl nach H. v. Kozebue, der da sagt, daß man die Menschen nicht beßer kennen lerne, als wenn man in 80 einem Wagen mit ihnen reiste, dazu aufgefordert werden könnte",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Paris, 1. und 6. März 1805.",welche nie überschritten werden dürfen,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Paris, 11. und 12. April 1805.",Sav. Besiz wird doch vor August nicht gedrukt werden können,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Paris, 11. und 12. April 1805.","da der Bequeml. wegen der Druk dort korrigirt werden muß,",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Paris, 21. April 1805.","so kann man vom facio ut des aufs f. ut f. schließen, etwas anders wäre es wenn von f. ut d. auf f. ut 30 f. geschl. werden sollte.",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Paris, 17. bis 19. Mai 1805.",sollte es unterwegs verdorben worden sein,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Kassel, 17. Mai [1809].","Nicht als wenn sie nicht gemacht werden könnten,",321,Jacob
" Jacob Grimm an Wilhelm Grimm. Paris, 7. Juni [1814]",wozu eine ganze Ab105 handlung geschrieben werden müßte,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Kassel, 4. [bis 7.] August [1809].",die wie das Gras wachsen u. mehrmals abgemäht werden können.,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Kassel, 10. [September 1809].","wie die meisten nordischen Sagen in den Kämpe Dater zwar des Inhalts wegen unschätzbar, in der Dar30 stellung aber zu kurz und unlebendig sind u. nicht bei altdeutsche Romane, wie die vom Tristan p. gehalten werden dürfen",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Napoleonshöhe, 12. September 1810.",weil der Plaz nicht 100 verwilligt werden kann,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Gotha, [25. Juni 1811].","daß statt dieser, die Mss. im frankfurtischen beßer versendet werden müßten",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Karlsruhe, 8. und 9. Januar 1814.",wozu vielleicht bald ein Faden geknüpft werden kann,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Karlsruhe, 8. und 9. Januar 1814.",ob vielleicht auch eine ganz kurze Wiedererklärung von unserer Seite entbehrt werden kann,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Basel, 20. Januar 1814.",nach einigen Nachrichten heute soll sie schon gewonnen worden seyn,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Langres, 2. Februar 1814.",daß ihr Kaiser auf keine andere Weise dazu gebracht werden kann,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Chaumont, 4. und 5. Februar [1814].",selbst wenn noch eine Schlacht geliefert werden müßte,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Chaumont, 19. März [1814].","Gedanken, deren viele durch eine eingehende neue Nachricht plötzlich vernichtet werden können",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Paris, 19. bis 25. April 1814.",das was uns gehört und wieder erobert worden ist,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Paris, 1. Mai 1814. ","da er aber einquartirt ist und verköstigt werden muß,",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Wien, 2. und 3. Oktober [1814].",wodurch es einem umgekehrt erwünscht werden könnte,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Wien, 8. Oktober [1814].","selbst, wenn es blos für die Verwaltung eingerichtet werden soll",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Wien, 21. und 22. Oktober 1814.",hätte wohl Tuln u. Ziselmauer bemerkt werden sollen,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Wien, 12. November 1814.",sollten spätere verloren oder unterschlagen worden seyn,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Wien, 23. November 1814.","von Cöln, wo vermuthlich eine Univers. gebildet werden soll",321,Jacob
" Jacob Grimm an Wilhelm Grimm. Wien, 23. November 1814.","hätten die Schildbürger, wie sie dem Kaiser entgegengehn, citirt werden sollen",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Wien, 16. Dezember 1814.",daß auser den 5 fehlenden Heften noch 12 neue im Jahr 1815 geliefert werden sollen,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Wien, 27. Januar 1815.",was und wie darin gesprochen werden mag,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Wien, 27. Januar 1815.",daß Meinerts Mährische Lieder bald gedruckt werden sollen,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Wien, 6. und 7. März 1815.","daß auch Schlegels Museum, scheinbar unter s. Namen, fortgesetzt werden soll",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Wien, 6. und 7. März 1815.","worauf, wie es heißt, ein Ausschuß nach Frankfurt abgesandt werden soll.",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Brüssel, 17. September 1834.",der sich aber selbst unvorsichtig vorwage und hoffentlich gestürzt werden könne,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Brüssel, 17. September 1834.",weil sie nun bald wieder berufen werden müssen,321,Jacob
